,XGBoost
55,0.0
56,0.0
57,0.004241195
58,0.00018439977
59,0.006638392
60,0.010141988
,XGBoost
0,0.045116868
1,0.027541222
2,0.033520564
3,0.024460953
4,0.02500453
5,0.025910491
6,0.0036238448
7,0.005435767
8,0.010327958
9,0.0025366915
10,0.019749954
11,0.013951803
12,0.019387571
13,0.037869178
14,0.0057981517
15,0.024823338
16,0.023192607
17,0.034064144
18,0.019568762
19,0.020655915
20,0.032614604
21,0.026997644
22,0.025910491
23,0.020837108
24,0.021380685
25,0.043848522
26,0.017575648
27,0.012683457
28,0.020293532
29,0.0038050371
30,0.0047109984
31,0.018119225
32,0.010327958
33,0.00018119224
34,0.025548106
35,0.06595398
36,0.040587064
37,0.048921905
38,0.010871534
39,0.035151295
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.03460772
50,0.013227033
51,0.0
52,0.024460953
53,0.0005435767
54,0.00036238448
55,0.0
56,0.0
57,0.009784381
58,0.0
59,0.0028990759
60,0.005254575
,XGBoost
0,0.04659629
1,0.029304696
2,0.027848562
3,0.016017474
4,0.017655624
5,0.029850746
6,0.0038223516
7,0.017837642
8,0.008008737
9,0.004550419
10,0.02511831
11,0.02293411
12,0.02402621
13,0.03185293
14,0.0010921005
15,0.020567892
16,0.022752093
17,0.049508553
18,0.023844194
19,0.028212596
20,0.02238806
21,0.018019658
22,0.018929742
23,0.019293776
24,0.025482344
25,0.020021843
26,0.023116127
27,0.008736804
28,0.026574444
29,0.008190754
30,0.0072806696
31,0.017473608
32,0.009828905
33,0.0003640335
34,0.02457226
35,0.055879142
36,0.047688387
37,0.041681834
38,0.007644703
39,0.046232253
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.030032763
50,0.014197306
51,0.00054605026
52,0.03531125
53,0.0003640335
54,0.0
55,0.0
56,0.0
